Epoch 001: | Train Loss: 0.2403 | Val Loss: 0.2404 | Train Acc: 0.5155 | Val Acc: 0.5115 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.5000 | Val AUC: 0.5000
Epoch 002: | Train Loss: 0.2365 | Val Loss: 0.2366 | Train Acc: 0.5155 | Val Acc: 0.5115 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.5000 | Val AUC: 0.5000
Epoch 003: | Train Loss: 0.2328 | Val Loss: 0.2329 | Train Acc: 0.5155 | Val Acc: 0.5115 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.5000 | Val AUC: 0.5000
Epoch 004: | Train Loss: 0.2292 | Val Loss: 0.2293 | Train Acc: 0.5155 | Val Acc: 0.5115 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.5000 | Val AUC: 0.5000
Epoch 005: | Train Loss: 0.2256 | Val Loss: 0.2257 | Train Acc: 0.5155 | Val Acc: 0.5115 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.5000 | Val AUC: 0.5000
Epoch 006: | Train Loss: 0.2221 | Val Loss: 0.2222 | Train Acc: 0.5155 | Val Acc: 0.5115 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.5000 | Val AUC: 0.5000
Epoch 007: | Train Loss: 0.2187 | Val Loss: 0.2188 | Train Acc: 0.5155 | Val Acc: 0.5115 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.5000 | Val AUC: 0.5000
Epoch 008: | Train Loss: 0.2153 | Val Loss: 0.2154 | Train Acc: 0.5155 | Val Acc: 0.5115 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.5000 | Val AUC: 0.5000
Epoch 009: | Train Loss: 0.2119 | Val Loss: 0.2119 | Train Acc: 0.5155 | Val Acc: 0.5115 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.5000 | Val AUC: 0.5000
Epoch 010: | Train Loss: 0.2084 | Val Loss: 0.2084 | Train Acc: 0.5155 | Val Acc: 0.5115 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.5000 | Val AUC: 0.5000
Epoch 011: | Train Loss: 0.2048 | Val Loss: 0.2046 | Train Acc: 0.5155 | Val Acc: 0.5115 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.5000 | Val AUC: 0.5000
